nam_hoc,mon_hoc,diem,so_hoc_sinh
2018,vat_li,0.0,358
2018,vat_li,0.5,13
2018,vat_li,0.75,49
2018,vat_li,1.0,205
2018,vat_li,1.25,624
2018,vat_li,1.5,1294
2018,vat_li,1.75,2639
2018,vat_li,2.0,4301
2018,vat_li,2.25,6487
2018,vat_li,2.5,8916
2018,vat_li,2.75,11271
2018,vat_li,3.0,13714
2018,vat_li,3.25,15405
2018,vat_li,3.5,17252
2018,vat_li,3.75,18800
2018,vat_li,4.0,20132
2018,vat_li,4.25,21254
2018,vat_li,4.5,21886
2018,vat_li,4.75,22612
2018,vat_li,5.0,22682
2018,vat_li,5.25,22026
2018,vat_li,5.5,21259
2018,vat_li,5.75,20163
2018,vat_li,6.0,18491
2018,vat_li,6.25,17101
2018,vat_li,6.5,15513
2018,vat_li,6.75,13988
2018,vat_li,7.0,12046
2018,vat_li,7.25,10214
2018,vat_li,7.5,8607
2018,vat_li,7.75,6468
2018,vat_li,8.0,4796
2018,vat_li,8.25,3150
2018,vat_li,8.5,1733
2018,vat_li,8.75,838
2018,vat_li,9.0,351
2018,vat_li,9.25,102
2018,vat_li,9.5,43
2018,vat_li,9.75,11
2018,vat_li,10.0,2
2019,vat_li,0.0,50
2019,vat_li,0.25,1
2019,vat_li,0.5,7
2019,vat_li,0.75,25
2019,vat_li,1.0,117
2019,vat_li,1.25,312
2019,vat_li,1.5,640
2019,vat_li,1.75,1328
2019,vat_li,2.0,2427
2019,vat_li,2.25,3556
2019,vat_li,2.5,4868
2019,vat_li,2.75,6273
2019,vat_li,3.0,7525
2019,vat_li,3.25,8594
2019,vat_li,3.5,9500
2019,vat_li,3.75,10707
2019,vat_li,4.0,11611
2019,vat_li,4.25,12538
2019,vat_li,4.5,13916
2019,vat_li,4.75,15305
2019,vat_li,5.0,16330
2019,vat_li,5.25,17432
2019,vat_li,5.5,18555
2019,vat_li,5.75,19413
2019,vat_li,6.0,19656
2019,vat_li,6.25,19837
2019,vat_li,6.5,19391
2019,vat_li,6.75,18687
2019,vat_li,7.0,17516
2019,vat_li,7.25,15237
2019,vat_li,7.5,13134
2019,vat_li,7.75,10325
2019,vat_li,8.0,7819
2019,vat_li,8.25,5423
2019,vat_li,8.5,3408
2019,vat_li,8.75,2046
2019,vat_li,9.0,966
2019,vat_li,9.25,385
2019,vat_li,9.5,103
2019,vat_li,9.75,17
2019,vat_li,10.0,2
2020,vat_li,0.0,8
2020,vat_li,0.5,1
2020,vat_li,0.75,10
2020,vat_li,1.0,21
2020,vat_li,1.25,72
2020,vat_li,1.5,175
2020,vat_li,1.75,298
2020,vat_li,2.0,507
2020,vat_li,2.25,841
2020,vat_li,2.5,1190
2020,vat_li,2.75,1621
2020,vat_li,3.0,2189
2020,vat_li,3.25,2644
2020,vat_li,3.5,3195
2020,vat_li,3.75,3647
2020,vat_li,4.0,4441
2020,vat_li,4.25,5028
2020,vat_li,4.5,5779
2020,vat_li,4.75,6573
2020,vat_li,5.0,7531
2020,vat_li,5.25,8617
2020,vat_li,5.5,9713
2020,vat_li,5.75,10945
2020,vat_li,6.0,12513
2020,vat_li,6.25,13860
2020,vat_li,6.5,15614
2020,vat_li,6.75,17466
2020,vat_li,7.0,19729
2020,vat_li,7.25,21900
2020,vat_li,7.5,23505
2020,vat_li,7.75,23711
2020,vat_li,8.0,22018
2020,vat_li,8.25,18634
2020,vat_li,8.5,13632
2020,vat_li,8.75,8448
2020,vat_li,9.0,4653
2020,vat_li,9.25,1868
2020,vat_li,9.5,544
2020,vat_li,9.75,136
2020,vat_li,10.0,10
2021,vat_li,0.0,5
2021,vat_li,0.25,2
2021,vat_li,0.5,1
2021,vat_li,0.75,3
2021,vat_li,1.0,13
2021,vat_li,1.25,32
2021,vat_li,1.5,73
2021,vat_li,1.75,159
2021,vat_li,2.0,266
2021,vat_li,2.25,465
2021,vat_li,2.5,765
2021,vat_li,2.75,1152
2021,vat_li,3.0,1557
2021,vat_li,3.25,2154
2021,vat_li,3.5,2976
2021,vat_li,3.75,4028
2021,vat_li,4.0,5130
2021,vat_li,4.25,6459
2021,vat_li,4.5,7905
2021,vat_li,4.75,9350
2021,vat_li,5.0,11041
2021,vat_li,5.25,12396
2021,vat_li,5.5,13806
2021,vat_li,5.75,15684
2021,vat_li,6.0,16977
2021,vat_li,6.25,18492
2021,vat_li,6.5,19958
2021,vat_li,6.75,21274
2021,vat_li,7.0,22475
2021,vat_li,7.25,23593
2021,vat_li,7.5,23934
2021,vat_li,7.75,23209
2021,vat_li,8.0,20745
2021,vat_li,8.25,16859
2021,vat_li,8.5,10901
2021,vat_li,8.75,6433
2021,vat_li,9.0,2968
2021,vat_li,9.25,1167
2021,vat_li,9.5,337
2021,vat_li,9.75,80
2021,vat_li,10.0,14
2022,vat_li,0.0,10
2022,vat_li,0.75,1
2022,vat_li,1.0,11
2022,vat_li,1.25,24
2022,vat_li,1.5,71
2022,vat_li,1.75,138
2022,vat_li,2.0,241
2022,vat_li,2.25,388
2022,vat_li,2.5,645
2022,vat_li,2.75,1029
2022,vat_li,3.0,1526
2022,vat_li,3.25,2031
2022,vat_li,3.5,2818
2022,vat_li,3.75,3581
2022,vat_li,4.0,4613
2022,vat_li,4.25,5661
2022,vat_li,4.5,7005
2022,vat_li,4.75,8252
2022,vat_li,5.0,9549
2022,vat_li,5.25,11160
2022,vat_li,5.5,12696
2022,vat_li,5.75,14556
2022,vat_li,6.0,16355
2022,vat_li,6.25,17962
2022,vat_li,6.5,19475
2022,vat_li,6.75,21240
2022,vat_li,7.0,22546
2022,vat_li,7.25,23162
2022,vat_li,7.5,22883
2022,vat_li,7.75,21849
2022,vat_li,8.0,19664
2022,vat_li,8.25,16373
2022,vat_li,8.5,13432
2022,vat_li,8.75,10232
2022,vat_li,9.0,7192
2022,vat_li,9.25,4278
2022,vat_li,9.5,2012
2022,vat_li,9.75,708
2022,vat_li,10.0,154
2023,vat_li,0.0,10
2023,vat_li,0.25,1
2023,vat_li,0.5,2
2023,vat_li,0.75,2
2023,vat_li,1.0,8
2023,vat_li,1.25,15
2023,vat_li,1.5,59
2023,vat_li,1.75,130
2023,vat_li,2.0,254
2023,vat_li,2.25,429
2023,vat_li,2.5,805
2023,vat_li,2.75,1229
2023,vat_li,3.0,1776
2023,vat_li,3.25,2789
2023,vat_li,3.5,3672
2023,vat_li,3.75,4852
2023,vat_li,4.0,6019
2023,vat_li,4.25,7419
2023,vat_li,4.5,8771
2023,vat_li,4.75,10138
2023,vat_li,5.0,11317
2023,vat_li,5.25,12664
2023,vat_li,5.5,13693
2023,vat_li,5.75,15147
